layer,probe_acc,chance,encoder,task,target
22,0.0222222222222222,0.0769230769230769,mert330,mode_id,ground_truth
23,0.0309941520467836,0.0769230769230769,mert330,mode_id,ground_truth
24,0.0111111111111111,0.0769230769230769,mert330,mode_id,ground_truth
0,0.2843915343915343,0.2,mert330,note_count,ground_truth
1,0.3174603174603175,0.2,mert330,note_count,ground_truth
2,0.3756613756613756,0.2,mert330,note_count,ground_truth
3,0.3849206349206349,0.2,mert330,note_count,ground_truth
4,0.3902116402116402,0.2,mert330,note_count,ground_truth
5,0.3994708994708995,0.2,mert330,note_count,ground_truth
6,0.4087301587301586,0.2,mert330,note_count,ground_truth
7,0.3756613756613756,0.2,mert330,note_count,ground_truth
8,0.4034391534391534,0.2,mert330,note_count,ground_truth
9,0.4126984126984127,0.2,mert330,note_count,ground_truth
10,0.4034391534391534,0.2,mert330,note_count,ground_truth
11,0.3968253968253968,0.2,mert330,note_count,ground_truth
12,0.3875661375661376,0.2,mert330,note_count,ground_truth
13,0.3783068783068783,0.2,mert330,note_count,ground_truth
14,0.3994708994708995,0.2,mert330,note_count,ground_truth
15,0.3849206349206349,0.2,mert330,note_count,ground_truth
16,0.3637566137566138,0.2,mert330,note_count,ground_truth
17,0.3902116402116402,0.2,mert330,note_count,ground_truth
18,0.32010582010582,0.2,mert330,note_count,ground_truth
19,0.3505291005291005,0.2,mert330,note_count,ground_truth
20,0.3875661375661376,0.2,mert330,note_count,ground_truth
21,0.3875661375661376,0.2,mert330,note_count,ground_truth
22,0.3452380952380952,0.2,mert330,note_count,ground_truth
23,0.3571428571428571,0.2,mert330,note_count,ground_truth
24,0.3571428571428571,0.2,mert330,note_count,ground_truth
0,0.7904040404040403,0.3333333333333333,mert330,octave_id,octave
1,0.790909090909091,0.3333333333333333,mert330,octave_id,octave
2,0.9404040404040404,0.3333333333333333,mert330,octave_id,octave
3,0.977777777777778,0.3333333333333333,mert330,octave_id,octave
4,0.9555555555555556,0.3333333333333333,mert330,octave_id,octave
5,0.887878787878788,0.3333333333333333,mert330,octave_id,octave
6,0.9388888888888888,0.3333333333333333,mert330,octave_id,octave
7,0.845959595959596,0.3333333333333333,mert330,octave_id,octave
8,0.9111111111111112,0.3333333333333333,mert330,octave_id,octave
9,0.9111111111111112,0.3333333333333333,mert330,octave_id,octave
10,0.8555555555555555,0.3333333333333333,mert330,octave_id,octave
11,0.9,0.3333333333333333,mert330,octave_id,octave
12,0.9444444444444444,0.3333333333333333,mert330,octave_id,octave
13,0.9292929292929294,0.3333333333333333,mert330,octave_id,octave
14,0.9404040404040404,0.3333333333333333,mert330,octave_id,octave
15,0.9141414141414144,0.3333333333333333,mert330,octave_id,octave
16,0.9141414141414144,0.3333333333333333,mert330,octave_id,octave
17,0.9181818181818184,0.3333333333333333,mert330,octave_id,octave
18,0.9252525252525252,0.3333333333333333,mert330,octave_id,octave
19,0.8934343434343434,0.3333333333333333,mert330,octave_id,octave
20,0.8989898989898991,0.3333333333333333,mert330,octave_id,octave
21,0.8823232323232323,0.3333333333333333,mert330,octave_id,octave
22,0.9045454545454544,0.3333333333333333,mert330,octave_id,octave
23,0.8823232323232323,0.3333333333333333,mert330,octave_id,octave
24,0.9196969696969696,0.3333333333333333,mert330,octave_id,octave
0,0.1287878787878787,0.0833333333333333,mert330,pitch_note_id,pitch_class
1,0.7368686868686868,0.0833333333333333,mert330,pitch_note_id,pitch_class
2,0.6121212121212122,0.0833333333333333,mert330,pitch_note_id,pitch_class
3,0.5262626262626263,0.0833333333333333,mert330,pitch_note_id,pitch_class
4,0.4737373737373737,0.0833333333333333,mert330,pitch_note_id,pitch_class
5,0.4737373737373737,0.0833333333333333,mert330,pitch_note_id,pitch_class
6,0.4904040404040404,0.0833333333333333,mert330,pitch_note_id,pitch_class
7,0.4848484848484848,0.0833333333333333,mert330,pitch_note_id,pitch_class
8,0.4904040404040404,0.0833333333333333,mert330,pitch_note_id,pitch_class
9,0.4681818181818182,0.0833333333333333,mert330,pitch_note_id,pitch_class
10,0.4681818181818182,0.0833333333333333,mert330,pitch_note_id,pitch_class
11,0.4611111111111111,0.0833333333333333,mert330,pitch_note_id,pitch_class
12,0.5222222222222223,0.0833333333333333,mert330,pitch_note_id,pitch_class
13,0.4848484848484848,0.0833333333333333,mert330,pitch_note_id,pitch_class
14,0.4737373737373737,0.0833333333333333,mert330,pitch_note_id,pitch_class
15,0.5388888888888889,0.0833333333333333,mert330,pitch_note_id,pitch_class
